N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
20,1.775,1.3250000000000002,8,"(20, -31)",15
20,1.775,1.55,8,"(20, -31)",15
20,1.55,2.0,8,"(20, -31)",16
20,1.775,2.0,5,"(20, -31)",16
20,1.1,1.1,5,"(20, -31)",17
20,1.3250000000000002,1.1,2,"(20, -31)",17
20,1.775,1.1,5,"(20, -31)",17
20,1.775,1.775,5,"(20, -31)",17
20,2.0,1.55,2,"(20, -31)",17
20,2.0,1.3250000000000002,5,"(20, -31)",20
20,1.55,1.55,2,"(20, -31)",23
20,2.0,2.0,8,"(20, -32)",13
20,1.3250000000000002,1.3250000000000002,8,"(20, -32)",14
20,1.55,1.55,8,"(20, -32)",14
20,2.0,1.3250000000000002,8,"(20, -32)",14
20,2.0,1.55,8,"(20, -32)",14
20,1.1,2.0,8,"(20, -32)",15
20,1.55,1.3250000000000002,8,"(20, -32)",15
20,1.55,1.775,2,"(20, -32)",16
20,1.775,1.1,8,"(20, -32)",16
20,1.3250000000000002,2.0,5,"(20, -32)",17
20,1.55,1.1,2,"(20, -32)",22
20,1.1,1.1,2,"(20, -32)",25
20,2.0,1.775,5,"(20, -33)",15
20,1.3250000000000002,1.55,5,"(20, -33)",16
20,1.3250000000000002,1.775,5,"(20, -33)",16
20,1.55,2.0,5,"(20, -34)",15
20,1.3250000000000002,1.3250000000000002,5,"(20, -34)",17
20,1.55,1.3250000000000002,5,"(20, -35)",17
20,1.3250000000000002,2.0,2,"(20, -35)",18
20,1.3250000000000002,1.775,2,"(20, -36)",16
20,1.55,1.775,5,"(20, -36)",16
20,1.55,1.1,5,"(20, -36)",17
20,1.1,1.3250000000000002,5,"(20, -37)",15
20,1.3250000000000002,1.55,8,"(20, -37)",16
100,2.0,2.0,14,"(100, -193)",16
100,1.3250000000000002,1.775,14,"(100, -198)",15
100,1.775,1.3250000000000002,14,"(100, -198)",15
100,2.0,1.1,2,"(100, -198)",35
100,1.3250000000000002,1.55,8,"(100, -199)",16
